id,title,release_date,developer,genres,price,reviews,percent_positive
1477,Saints Row: The Third,2011-11-17,Volition,Action,22.88,2088,0.84
1478,State of Decay: YOSE,2015-04-27,Undead Labs,Action;RPG;Simulation,32.8,496,0.85
1480,The Secret of Monkey Island: Special Edition,2009-07-15,LucasArts,Adventure,21.64,4968,0.85
1484,The Jackbox Party Pack,2014-11-26,"Jackbox Games, Inc.",Casual;Indie;Strategy,38.38,884,0.89
1487,Like a Dragon: Ishin!,2023-02-21,Ryu Ga Gotoku Studio,"Action,Hack and slash,Brawler,Mini-games,Open world,",216.94,22116,0.9
1488,Lords and Villeins,2022-11-10,Honestly Games,"Building,Simulation,Strategy,",43.34,8686,0.92
1491,Dead Frontier 2,2018-09-05,Creaky Corpse Ltd,Action;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,0.0,4289,0.9
1492,SpeedRunners,2016-04-19,DoubleDutch Games,Action;Casual;Indie;Racing;Sports,29.7,14094,0.95
1494,LEGO® DC Super-Villains,2018-10-16,TT Games,Action;Adventure,71.24,4743,0.92
1495,NEKOPARA Vol. 1,2014-12-29,NEKO WORKs,Sexual Content;Nudity;Casual;Indie,23.56,784,0.93
1497,Naval Action,2016-01-21,Game-Labs,Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,0.0,9585,0.88
1498,LEGO® Marvel Super Heroes 2,2017-11-14,TT Games;Feral Interactive (Mac),Action,170.5,10263,0.95
1499,Baldur's Gate II: Enhanced Edition,2013-11-15,Beamdog,RPG;Strategy,32.8,5009,0.95
1501,Vampyr,2018-06-04,DONTNOD Entertainment,Action;RPG,99.14,975,0.9
1502,Nioh: Complete Edition,2017-11-07,Team Ninja,"Action,RPG,",68.14,821,0.77
1504,?V: Rings of Saturn,Early access,Kodera Software,"Sandbox,Simulation,",21.64,9846,0.91
1506,Half-Life: Blue Shift,2001-06-01,Gearbox Software,Action,12.34,1451,0.88
1507,The Valiant,2022-10-19,Kite Games,"RTS,",83.64,545,0.76
1509,Ys IX: Monstrum Nox,2021-07-06,Nihon Falcom,"ARPG,Hack and slash,",87.98,604,0.97
1517,Terraforming Mars,2018-10-17,Luckyhammers,Strategy,32.8,23465,0.87
1518,BlazBlue Centralfiction,2017-04-25,Arc System Works,Action,52.64,2527,0.87
1522,Atomic Heart,2023-02-20,Mundfish,"Action,Open world,FPS,",167.34,96,0.78
1525,DRAGON QUEST BUILDERS 2,2019-12-10,Square Enix,"ARPG,Sandbox,",185.94,4469,0.92
1526,Serious Sam 4,2020-09-24,Croteam,"Action,FPS,",99.2,6692,0.91
1528,Might & Magic® Heroes® VII,2015-09-29,Limbic Entertainment,RPG;Strategy,123.94,20688,0.94
1529,CLANNAD,2015-11-23,VisualArts/Key,Adventure;Casual,108.31,6246,0.87
1531,Rise of Nations: Extended Edition,2014-06-12,SkyBox Labs;Big Huge Games,Simulation;Strategy,35.03,8198,0.9
1533,We Happy Few,2018-08-10,Compulsion Games,Action;Adventure;Indie,185.94,11723,0.88
1536,Salt and Sanctuary,2016-05-17,Ska Studios,Violent;Gore;Action;Indie;RPG,34.66,1261,0.83
1537,LEGO® Harry Potter: Years 1-4,2010-06-25,TT Games,Action;Adventure,35.03,857,0.81
1539,AdVenture Capitalist,2015-03-30,Hyper Hippo Games,Casual;Free to Play;Indie,0.0,275,0.88
1540,Cold Waters,2017-06-05,Killerfish Games,Indie;Simulation;Strategy,52.64,5414,0.86
1541,Sakuna: Of Rice and Ruin,2020-11-10,Edelweiss,"Action,Platform,",43.34,6183,0.92
1543,The Chant,2022-11-03,Brass Token,"Action,Adventure,",136.34,3010,0.64
1545,Ghostbusters: The Video Game Remastered,2019-10-04,Terminal Reality,"Action,",35.28,19499,0.93
1546,SAMURAI SHODOWN,2018-02-28,SNK Corporation,"Arcade,Fighting,",0.0,12575,0.94
1547,Pogostuck: Rage With Your Friends,2019-02-28,Hendrik Felix Pohl,Action;Adventure;Casual;Indie,16.06,21980,0.95
1548,Hello Neighbor,2017-12-08,Dynamic Pixels,Adventure;Indie;Strategy,43.34,6689,0.93
1549,NEKOPARA Vol. 4,2020-11-26,NEKO WORKs,"Visual novel,",23.56,2730,0.88
1550,Urbek City Builder,2022-07-13,Estudios Kremlinois,"Building,",32.18,2543,0.95
1551,VEGA Conflict,2015-12-14,KIXEYE,Free to Play;Massively Multiplayer;Strategy,0.0,911,0.95
1553,Batman: Arkham City - Game of the Year Edition,2012-09-07,Rocksteady Studios;Feral Interactive (Mac),Action;Adventure,35.03,9934,0.94
1554,Gothic 1,2001-03-15,Piranha Bytes,Action;RPG,22.88,7700,0.71
1555,"Warhammer 40,000: Dawn of War III",2017-04-27,Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),Violent;Gore;Action;Simulation;Strategy,86.74,426,0.96
1556,Watch_Dogs,2014-05-26,Ubisoft,Action;Adventure,92.94,13130,0.94
1557,Youtubers Life 2,2021-10-19,U-Play Online,"Life sim,",83.64,3247,0.8
1558,Mirror,2018-04-19,KAGAMI WORKs,Adventure;Indie;RPG,6.51,5550,0.87
1559,Trine Enchanted Edition,2009-07-02,Frozenbyte,Action;Adventure;Indie,29.7,1136,0.89
1560,RollerCoaster Tycoon® 2: Triple Thrill Pack,2014-05-21,Chris Sawyer Productions,Simulation;Strategy,22.88,354,0.91
1561,Serious Sam: Siberian Mayhem,2022-01-25,Croteam,"FPS,",43.34,368,0.82
1563,Dead Rising 4,2017-03-14,"Capcom Game Studio Vancouver, Inc.",Action,123.94,1631,0.6
1564,Onward,2016-08-29,Downpour Interactive,Action;Indie;Simulation;Strategy;Early Access,38.38,2613,0.81
1565,Shadow Warrior 3,2022-03-01,Flying Wild Hog,"Action,FPS,Shooter,",92.94,1988,0.9
1566,Shadow Tactics: Blades of the Shogun,2016-12-06,Mimimi Productions,Indie;Strategy,52.64,17295,0.82
1569,Utawarerumono: Mask of Deception,2020-01-23,Sting,"RPG,Strategy,Visual novel,",55.74,23594,0.97
1570,The Excavation of Hob's Barrow,2022-09-28,Cloak and Dagger Games,"Adventure,",28.46,4102,0.96
1573,Fran Bow,2015-08-27,Killmonday Games AB,Adventure;Indie,29.7,1353,0.82
1574,The Legend of Heroes: Trails of Cold Steel III,2020-03-23,Nihon Falcom,"JRPG,",80.54,133,0.84
1575,Let's Build a Zoo,2021-11-05,Springloaded,"Building,",32.8,63706,0.61
1576,Stationeers,2017-12-12,RocketWerkz,Action;Indie;Simulation;Early Access,47.06,2330,0.55
1577,DmC: Devil May Cry,2013-01-24,Ninja Theory,Action;Adventure,111.54,559695,0.97
1578,Cossacks 3,2016-09-20,GSC Game World,Strategy,35.03,9352,0.76
1579,Moonlighter,2018-05-29,Digital Sun,Action;Adventure;Indie,38.56,15810,0.7
1580,KartKraft,2018-11-01,Black Delta,Indie;Racing;Simulation;Sports;Early Access,55.74,11809,0.96
1585,Tales of Symphonia,2016-02-01,BANDAI NAMCO Entertainment Inc.,RPG,81.41,3538,0.93
1586,Monkey Island 2 Special Edition: LeChucks Revenge,2010-07-07,LucasArts,Adventure,21.64,16580,0.88
1587,Operation: New Earth,2016-12-14,Hunted Cow Studios,Free to Play;Massively Multiplayer;Simulation;Strategy,0.0,2069,0.93
1589,Beasts of Bermuda,2018-12-21,"Sastrei Studios, LLC",Adventure;Indie;Massively Multiplayer;Simulation;Early Access,32.8,4083,0.94
1590,Caves of Qud,2015-07-15,Freehold Games,Adventure;Indie;RPG;Strategy;Early Access,32.8,7125,0.97
1592,Tom Clancy's Splinter Cell Conviction,2010-03-27,Ubisoft Montreal,"Action,Stealth,",46.44,1569,0.96
1593,From the Depths,2014-08-07,Brilliant Skies Ltd.,Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,35.28,501,0.93
1595,FINAL FANTASY III,2014-05-27,Square Enix,RPG,52.7,10982,0.97
1596,We Need To Go Deeper,2017-02-08,Deli Interactive LLC,Action;Indie;Simulation;Early Access,29.7,3093,0.91
1597,Baldur's Gate: Dark Alliance,2021-12-17,Snowblind Studios,"ARPG,Hack and slash,",43.34,23147,0.96
1598,The Stanley Parable,2013-10-17,Galactic Cafe,Adventure;Indie,29.7,10155,0.82
1599,Deus Ex: Mankind Divided,2016-08-23,Eidos Montreal;Feral Interactive (Linux);Feral Interactive (Mac),Action;RPG,30.94,5809,0.85
1601,FINAL FANTASY,2021-07-28,Tose,"JRPG,",34.1,37456,0.92
1602,LEGO® The Lord of the Rings,2012-11-13,Traveller's Tales,"Action,Adventure,Open world,",35.03,3769,0.96
1603,Team Fortress Classic,1999-04-01,Valve,Action,12.34,45525,0.71
1604,Styx: Shards of Darkness,2017-03-14,Cyanide Studio,Violent;Action;Adventure,49.54,1112,0.93
1608,Stronghold Kingdoms,2012-02-27,FireFly Studios,Free to Play;Massively Multiplayer;Strategy,0.0,9373,0.96
1609,Trine 3: The Artifacts of Power,2015-08-20,Frozenbyte,Action;Adventure;Indie,36.89,2062,0.79
1610,Furi,2016-07-05,The Game Bakers,Action,32.8,2977,0.83
1613,DOOM (1993),1993-12-10,id Software,"Action,Shooter,",16.06,6146,0.9
1615,Okami HD,2017-12-12,Clover Studio,"Action,",123.38,1344,0.73
1616,Made in Abyss: Binary Star Falling into Darkness,2022-09-02,Chime Corporation,"JRPG,",80.54,2483,0.88
1617,Blood Bowl 2,2015-09-22,Cyanide Studios,Sports;Strategy,49.54,1263,0.64
1618,Sudden Strike 4,2017-08-11,Kite Games,Strategy,74.34,1422,0.99
1619,STEINS;GATE 0,2018-05-08,MAGES. Inc.,Adventure,47.06,65,0.95
1622,Castlevania: Lords of Shadow 2,2014-02-25,MercurySteam,Action;Adventure,162.07,2627,0.94
1623,Torchlight II,2012-09-20,Runic Games,Action;Adventure;Indie;RPG,35.03,1891,0.93
1624,Beyond The Wire,Early access,Redstone Interactive,"FPS,",47.06,1932,0.61
1625,HD Poker: Texas Hold'em,2018-09-14,Z4,Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Strategy,0.0,3424,0.93
1628,LEGO® Batman 3: Beyond Gotham,2014-11-11,TT Games Ltd;Feral Interactive (Mac),Action;Adventure,45.2,819,0.96
1630,Primal Carnage: Extinction,2015-04-03,Circle Five Studios;Pub Games,Action;Indie,27.22,1387,0.88
1633,FAR: Changing Tides,2022-03-01,Okomotive,"Adventure,",49.54,5496,0.92
1635,Ticket to Ride,2012-05-24,Days of Wonder,Casual;Indie;Strategy,22.88,9368,0.91
1639,Black Book,2021-08-10,Morteshka,"Adventure,RPG,Card/tile,",35.28,1675,0.84
1640,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,2017-08-25,CyberConnect2 Co. Ltd.,Action;Adventure;Strategy,122.14,6946,0.86
1642,Turbo Overkill,Early access,Trigger Happy Interactive,"FPS,",32.8,4528,0.75
1645,Bit Heroes,2017-12-13,Juppiomenz,Adventure;Free to Play;Massively Multiplayer;RPG,0.0,962,0.96
1647,Blush Blush,2019-04-04,Sad Panda Studios,Casual;Free to Play;Indie;Simulation;Early Access,0.0,1876,0.97
1648,Atelier Sophie: The Alchemist of the Mysterious Book DX,2021-04-22,Gust Co. Ltd.,"JRPG,",55.74,18781,0.72
1650,HuniePop,2015-01-19,HuniePot,Indie;RPG;Simulation;Strategy,22.88,1624,0.82
1651,Monster Sanctuary,2020-12-08,Moi Rai Games,"Metroidvania,RPG,",43.34,3507,0.94
1652,Café Stella and the Reaper's Butterflies,2022-03-25,Yuzusoft,"Visual novel,",47.06,4402,0.96
1653,Rusty Lake Paradise,2018-01-11,Rusty Lake,Adventure;Indie,10.23,2076,0.79
1655,The Curse of Monkey Island,2018-03-22,LucasArts,Adventure,16.06,21,0.09
1657,Armello,2015-09-01,League of Geeks,Adventure;Indie;RPG;Strategy,37.14,2742,0.68
1659,Utawarerumono: Mask of Truth,2020-01-23,Sting,"RPG,Strategy,Visual novel,",55.74,12498,0.89
1660,LEGO® Harry Potter: Years 5-7,2012-01-05,Traveller's Tales,Adventure,35.03,2839,0.95
1661,Aragami 2,2021-09-17,Lince Works,"Action,Stealth,",47.06,11344,0.67
1662,Meltys Quest,2017-10-24,Remtairy;Happy Life,RPG,45.2,2874,0.91
1664,STEINS;GATE ELITE,2019-02-19,5pb.,"Visual novel,",0.0,11671,0.61
1666,Gorogoa,2017-12-14,Buried Signal,Adventure;Casual;Indie,28.46,2022,0.95
1668,911 Operator,2017-02-24,Jutsu Games,Casual;Indie;Simulation;Strategy,29.7,10919,0.94
1669,Homeworld: Deserts of Kharak,2016-01-20,Blackbird Interactive,Strategy,61.32,3983,0.87
1670,RollerCoaster Tycoon® Classic,2017-09-28,Origin8 Technologies Ltd.,Simulation;Strategy,35.03,3948,0.87
1671,Dead Estate,2021-10-19,Milkbar Lads,"Roguelike,Shooter,",15.44,916,0.94
1672,Need for Speed Rivals,2013-11-19,Ghost Games,"Racing,Open world,",61.94,14224,0.94
1673,Saints Row®: The Third Remastered,2020-05-22,Sperasoft,"Action,Shooter,Open world,",55.74,3681,0.94
1677,Idling to Rule the Gods,2016-05-27,Shugasu GmbH,Casual;Indie,0.0,5326,0.93
1679,Chevalier Historie,2021-01-02,PICOPICOSOFT,"ARPG,",49.6,60,0.85
1680,Everhood,2021-03-04,Chris Nordgren,"Music/rhythm,RPG,",22.88,3124,0.92
1681,Hokko Life,2022-09-27,Wonderscope,"Life sim,",32.8,16244,0.9
1685,Hooked on You: A Dead by Daylight Dating Sim,2022-08-03,Psyop,"Dating,",23.5,3866,0.77
1686,Trials of Mana,2020-04-24,Xeen,"ARPG,Action,JRPG,RPG,",154.94,3183,0.89
1688,Runes of Magic,2018-08-29,Runewaker Entertainment,Action;Adventure;Free to Play;Massively Multiplayer;RPG,0.0,9917,0.99
1689,Duck Game,2015-06-04,Landon Podbielski,Action;Indie,25.98,3009,0.95
1691,LEGO® MARVEL's Avengers,2016-01-26,Traveller's Tales;TT Games;Feral Interactive (Mac),Action;Adventure,92.94,582,0.75
1693,FAR: Lone Sails,2018-05-17,Okomotive,Action;Adventure;Indie,28.46,5227,0.53
1696,Warhammer: End Times - Vermintide,2015-10-23,Fatshark,Action;Indie,45.2,3168,0.79
1697,CHRONO TRIGGER®,2018-02-27,Square Enix,RPG,55.74,827,0.73
1698,RUNNING WITH RIFLES,2015-04-02,Osumia Games,Action;Indie,28.46,10947,0.95
1699,Dungeons 3,2017-10-13,Realmforge Studios,Simulation;Strategy,111.54,895,0.79
1701,UnderRail,2015-12-18,Stygian Software,Indie;RPG,37.2,5513,0.68
1702,The Wolf Among Us,2013-10-11,Telltale Games,Adventure,30.94,28598,0.91
1703,DNF Duel,2022-06-28,Arc System Works,"Fighting,",188.42,2154,0.78
1704,SYNTHETIK: Legion Rising,2018-03-15,Flow Fire Games,Action;Indie,34.04,3526,0.72
1706,The Legend of Heroes: Trails of Cold Steel,2017-08-02,Nihon Falcom,RPG,52.64,1453,0.8
1707,Five Nights at Freddy's 2,2014-11-10,Scott Cawthon,Indie,18.54,68,0.83
1708,Catherine Classic,2019-01-10,ATLUS,Adventure,41.23,3399,0.85
1709,Fake Lay,2020-05-05,Timeless SP,"Simulation,",0.0,21673,0.81
1711,LEGO® Marvel Super Heroes,2013-11-15,Traveller's Tales,Action;Adventure,35.03,1628,0.98
1712,Before Your Eyes,2021-04-08,GoodbyeWorld Games,"Adventure,",21.64,2699,0.95
1715,Spirit Island,2022-08-17,1M Bits Horde,"Life sim,RPG,",35.28,499,0.91
1716,Dead Island: Riptide Definitive Edition,2016-05-31,Techland,Action,35.03,3548,0.82
1720,Winter Falling: Battle Tactics,Early access,Rarykos,"Strategy,",29.76,2675,0.93
1722,Mirror's Edge,2009-01-14,DICE,Action;Adventure,61.94,19396,0.92
1723,Martha Is Dead,2022-02-24,LKA,"Adventure,Puzzle,",43.34,11954,0.97
1725,Call of Duty® 2,2006-10-13,Infinity Ward;Aspyr (Mac),Action,80.6,4823,0.97
1727,Age of Wonders III,2014-03-31,Triumph Studios,RPG;Strategy,45.2,352,0.81
1729,F1® 2021,2021-07-16,Codemasters,"Racing,Simulation,",185.94,457,0.91
1730,SAS: Zombie Assault 4,2017-10-16,Ninja Kiwi,Action;Free to Play;RPG,0.0,5104,0.88
1732,Star Valor,2018-07-13,Rafael Burgos,Action;Indie;RPG;Early Access,38.44,8308,0.97
1733,Rick and Morty: Virtual Rick-ality,2017-04-20,Owlchemy Labs,Violent;Adventure;Indie;Simulation,45.2,17877,0.93
1736,MechWarrior Online Solaris 7,2015-12-10,Piranha Games Inc.,Action;Free to Play;Massively Multiplayer;Simulation;Strategy,0.0,539,0.88
1737,Deliver Us The Moon,2019-10-10,KeokeN Interactive,"Adventure,Puzzle,",35.28,5126,0.9
1740,LoveBeat,2016-01-13,"CRAZYDIAMOND CO., LTD.",Action;Casual;Free to Play;Massively Multiplayer,0.0,8741,0.76
1741,Wolcen: Lords of Mayhem,2016-03-24,WOLCEN Studio,Action;Adventure;Indie;RPG;Early Access,55.74,2095,0.88
1742,Prison Simulator,2021-11-04,Baked Games,"Simulation,",32.8,25820,0.86
1745,Starsand,2022-11-18,Tunnel Vision Studio,"Survival,Open world,",68.14,135,0.82
1746,Tree of Savior (English Ver.),2016-03-28,"IMCGAMES Co.,Ltd.",Free to Play;Massively Multiplayer;RPG,0.0,1979,0.81
1747,Sword Art Online: Hollow Realization Deluxe Edition,2017-10-27,AQURIA,Action;Adventure;Casual;RPG,61.32,3684,0.83
1749,Business Tour - Board Game with Online Multiplayer,2017-07-27,Creobit,Casual;Free to Play;Indie;Massively Multiplayer;Strategy,0.0,3941,0.97
1750,Gary Grigsby's War in the East 2,2021-03-25,2by3 Games,"Strategy,Wargame,",105.34,2098,0.74
1751,Breathedge,2018-09-13,RedRuins Softworks,Adventure;Early Access,35.28,323,0.93
1752,Aliens vs. Predator,2010-02-16,Rebellion,Action,29.7,1035,0.95
1754,Motorsport Manager,2016-11-09,Playsport Games,Racing;Simulation;Sports;Strategy,47.68,3033,0.71
1758,The Room,2014-07-28,Fireproof Games,Adventure;Indie,16.06,4680,0.95
1765,Ragnarok Online,2002-08-31,Gravity Interactive,"MMORPG,",0.0,1530,0.97
1767,Wolfpack,2019-03-15,Usurpator AB,Simulation;Early Access,47.06,399,0.9
1769,Sonic Adventure DX,2004-09-14,Sonic Team,"Action,Adventure,Platform,",37.14,19716,0.64
1770,Forspoken,2023-01-24,Luminous Productions,"Action,Adventure,Exploration,Open world,RPG,",297.54,2754,0.82
1772,Machinarium,2009-10-16,Amanita Design,Adventure;Indie,27.84,26180,0.96
1773,The Talos Principle,2014-12-11,Croteam,Action;Adventure;Indie,80.6,265,0.89
1774,Knockout City,2021-05-21,Velan Studios,"Action,",0.0,4275,0.88
1775,Airborne Kingdom,2020-12-17,The Wandering Band,"Building,Exploration,",35.28,15942,0.9
1776,F1® 2020,2020-07-10,Codemasters Birmingham,"Racing,Simulation,",80.54,3366,0.87
1777,GORN,2017-07-10,Free Lives,Action;Indie;Early Access,54.56,3207,0.8
1778,Nadir: A Grimdark Deckbuilder,Early access,Team Nadir,"Card/tile,Roguelike,",54.56,4241,0.9
1780,Gordian Quest,2022-06-23,Mixed Realms,"RPG,Card/tile,",32.8,1421,0.96
1781,Lost Ruins,2021-05-13,Altari Games,"Metroidvania,Survival,",32.8,4286,0.87
1783,Day of Defeat,2003-05-01,Valve,Action,12.34,542,0.81
1784,Hitman: Absolution,2012-11-19,Io-Interactive A/S;Feral Interactive (Mac),Action,35.03,842,0.81
1785,The Legend of Heroes: Trails in the Sky SC,2015-10-29,Nihon Falcom,RPG,45.2,6196,0.77
1786,Madden NFL 22,2021-08-20,EA Tiburon,"Sports,",185.94,851,0.9
1787,NARUTO: Ultimate Ninja STORM,2017-08-25,CyberConnect2 Co. Ltd.,Action;Adventure,122.14,2194,0.88
1788,Ricochet,2000-11-01,Valve,Action,15.5,901,0.94
1790,First Class Trouble,2021-11-01,Invisible Walls,"Party game,",34.41,11456,0.84
1791,Command & Conquer 3: Kane's Wrath,2009-11-13,EA Los Angeles,Strategy,55.74,1156,0.57
1792,Wizard of Legend,2018-05-15,Contingent99,Action;Adventure;Indie,29.7,399,0.96
1793,Thronebreaker: The Witcher Tales,2018-11-09,CD PROJEKT RED,Adventure;RPG,61.94,8928,0.95
1794,Foretales,2022-09-15,Alkemi,"Adventure,Card/tile,",97.96,7432,0.82
1795,Vanquish,2017-05-25,PlatinumGames;Little Stone Software,Action,74.34,5170,0.57
1797,Scythe: Digital Edition,2018-09-05,The Knights of Unity,Strategy,32.8,1071,0.95
1799,McPixel 3,2022-11-14,Sos Sosowski,"Adventure,",29.76,3043,0.63
1804,FINAL FANTASY VII,2013-07-04,Square Enix,RPG,25.36,5314,0.94
1806,Encased: A Sci-Fi Post-Apocalyptic RPG,2021-09-07,Dark Crystal Games,"RPG,",43.34,6069,0.92
1807,Blue Fire,2021-02-04,ROBI Studios,"Action,Adventure,Platform,",32.8,7011,0.94
1808,FlatOut 2,2006-12-21,Bugbear Entertainment,Racing,22.88,107,0.62
1809,Magicka 2,2015-05-26,Pieces Interactive,Action;Adventure,29.7,593,0.93
1810,Dishonored®: Death of the Outsider,2017-09-14,Arkane Studios,Action,86.74,2049,0.86
1812,Darksiders Genesis,2019-12-05,Airship Syndicate,"RPG,",71.86,5798,0.94
1813,Sniper Ghost Warrior 3,2017-04-24,CI Games,Violent;Action,68.14,1209,0.99
1814,Spiral Knights,2011-06-14,"Grey Havens, LLC",Action;Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG,0.0,334,0.85
1821,The Room Two,2016-07-05,Fireproof Games,Adventure;Indie,16.06,237,0.94
1822,Battlestar Galactica Deadlock,2017-08-31,Black Lab Games,Strategy,52.64,336,0.83
1823,F.I.S.T.: Forged In Shadow Torch,2021-10-03,TiGames,"Metroidvania,",80.54,1678,0.75
1825,Ultimate General: Civil War,2017-07-14,Game-Labs,Indie;Simulation;Strategy,61.94,2519,0.9
1827,The Legend of Heroes: Trails in the Sky the 3rd,2017-05-03,Nihon Falcom,RPG,45.2,5535,0.9
1828,Castlevania Anniversary Collection,2019-05-16,Konami,"Platform,",32.8,6805,0.87
1829,Empire of Sin,2020-12-01,Romero Games,"Shooter,Strategy,",55.74,3306,0.58
1830,Lawn Mowing Simulator,2021-08-10,Skyhook Games,"Simulation,",83.64,3320,0.96
1831,Rayman® Legends,2013-08-29,Ubisoft Montpellier,"Platform,",61.94,3452,0.91
1832,The Legend of Heroes: Trails in the Sky,2014-07-29,Nihon Falcom,RPG,35.03,4962,0.69
1833,Airships: Conquer the Skies,2018-08-16,David Stark,Action;Indie;Strategy,35.28,1202,0.94
1837,Star Conflict,2013-02-27,Star Gem Inc.,Action;Free to Play;Massively Multiplayer;Simulation,0.0,576,0.99
1838,Assassin's Creed Freedom Cry,2014-02-25,Ubisoft Montreal,Action;Adventure,46.44,60,0.98
1839,UNDYING,Early access,Vanimals,"Survival,",32.8,206,0.98
1840,Yomawari: Lost in the Dark,2022-10-25,Nippon Ichi Software,"Survival horror,",96.04,1024,0.92
1841,Unity of Command II,2019-11-12,2x2 Games,"Strategy,",81.78,11852,0.9
1842,Fire Pro Wrestling World,2017-12-18,"Spike Chunsoft Co., Ltd.",Simulation;Sports,43.34,88,0.96
1843,Darksiders III,2018-11-27,Gunfire Games,Action;Adventure;RPG,83.64,3534,0.85
1844,Project CARS 3,2020-08-28,Slightly Mad Studios,"Racing,Simulation,",154.94,451,0.87
1845,DOOM II,2007-08-03,id Software,Action,16.06,2395,0.59
1846,Danganronpa Another Episode: Ultra Despair Girls,2017-06-27,"Spike Chunsoft Co., Ltd.",Action,45.2,5210,0.88
1847,NASCAR Heat 5,2020-07-10,704Games,"Racing,",28.46,855,0.94
1849,SENRAN KAGURA Burst Re:Newal,2019-01-22,Tamsoft,Action,43.34,1883,0.91
1850,Alan Wake,2012-02-16,Remedy Entertainment,Action;Adventure,28.46,169,0.52
1851,River City Girls,2019-09-05,WayForward Technologies,"Brawler,",43.34,148,0.87
1853,Osiris: New Dawn,2016-09-28,Fenix Fire Entertainment,Action;Adventure;Indie;RPG;Early Access,47.06,5993,0.82
1854,Bloons TD 5,2014-11-19,Ninja Kiwi,Action;Strategy,21.64,1947,0.85
1855,FINAL FANTASY IX,2016-04-14,Square Enix,RPG,36.89,840,0.81
1856,Disgaea 4 Complete+,2020-09-10,Nippon Ichi Software,"JRPG,Strategy,",55.74,1658,0.99
1859,60 Parsecs!,2018-09-18,Robot Gentleman,Adventure;Casual;Indie;RPG;Simulation;Strategy,18.6,1599,0.96
1860,Resident Evil Revelations,2013-05-21,Tose,"Survival horror,",111.54,10726,0.97
1862,SpyParty,2018-04-12,Chris Hecker;John Cimino,Action;Indie;Simulation;Strategy;Early Access,35.28,7809,0.93
1865,Far Cry® 2,2008-10-21,Ubisoft Montreal,"FPS,Open world,",30.94,7276,0.87
1867,Lacuna  A Sci-Fi Noir Adventure,2021-05-20,DigiTales Interactive,"Adventure,Puzzle,",29.7,274,0.75
1868,Zero Escape: The Nonary Games,2017-03-24,"Spike Chunsoft Co., Ltd.",Violent;Gore;Adventure,43.34,2047,0.74
1869,R-Type Final 2,2021-04-30,Granzella,"Shooter,",55.74,12336,0.89
1870,Rusty Lake: Roots,2016-10-20,Rusty Lake,Adventure;Indie,10.48,27366,0.84
1871,Hand Simulator,2017-07-18,HFM Games,Simulation,5.27,5149,0.88
1872,Terror of Hemasaurus,2022-10-17,Loren Lemcke,"Arcade,",25.98,3277,0.8
1873,EverQuest II,2011-12-07,Daybreak Game Company,Free to Play;Massively Multiplayer;RPG,0.0,3528,0.96
1874,NEKOPARA Vol. 3,2017-05-25,NEKO WORKs,Sexual Content;Nudity;Casual;Indie,23.56,3281,0.89
1876,Legend of Mana,2021-06-24,M2,"ARPG,JRPG,",93.0,2338,0.9
1879,STAR WARS Knights of the Old Republic II - The Sith Lords,2012-08-23,"Obsidian Entertainment;Aspyr (Mac, Linux, & Windows Update)",RPG,21.64,8976,0.66
1882,Mortal Shell,2020-08-18,Cold Symmetry,"Action,RPG,",49.6,6387,0.65
1883,Lake,2021-09-01,Gamious,"Adventure,",32.8,14084,0.74
1885,SENRAN KAGURA Peach Beach Splash,2018-03-07,Tamsoft,Action,43.34,11670,0.96
1887,Super Mega Baseball 3,2020-05-13,Metalhead Software,"Simulation,Sports,",59.46,1234,0.87
1888,LEGO® Jurassic World,2015-06-11,TT Games Ltd;Feral Interactive (Mac),Action;Adventure,35.03,301,0.95
1889,DAEMON X MACHINA,2020-02-13,Marvelous First Studio,"Action,Shooter,Vehicle combat,",68.14,27072,0.9
1892,SUPERHOT: MIND CONTROL DELETE,2017-12-07,SUPERHOT Team,Action;Indie;Early Access,6.14,25394,0.87
1895,METAL SLUG,2015-06-25,DotEmu,Action,21.64,1297,0.87
1898,Factory Town,2019-03-12,Erik Asmussen,Simulation;Strategy;Early Access,32.8,743,0.81
1899,Opus Magnum,2017-12-07,Zachtronics,Indie;Simulation,32.8,4621,0.97
1902,ELEX,2017-10-17,Piranha Bytes,Action;Adventure;RPG,68.14,5487,0.91
1903,HAAK,2022-08-24,Blingame,"Action,Adventure,Exploration,Metroidvania,Platform,Puzzle,RPG,",30.94,1724,0.95
1907,AMID EVIL,2018-03-12,Indefatigable,Action;Early Access,32.8,1560,0.97
1908,Game Dev Tycoon,2013-08-29,Greenheart Games,Casual;Indie;Simulation;Strategy,21.64,5704,0.97
1909,Move or Die,2016-01-21,Those Awesome Guys,Action;Indie,29.7,2797,0.98
1912,HUNTDOWN,2020-05-13,Easy Trigger Games,"Action,",32.8,4062,0.97
1914,Cell to Singularity - Evolution Never Ends,2018-12-12,Computer Lunch,Casual;Free to Play;Simulation;Early Access,0.0,1332,0.85
